collection,série,titre,date,pages,prix,âge,scenario,dessin,contenu VO,EAN,url,url cover
DC Anthologie,Anthologie Flash,Anthologie Flash,2015-03-27,400,25.00,12+,Collectif,Collectif,,9782365776219,https://www.urban-comics.com/anthologie-flash/,https://bdi.dlpdomain.com/album/9782365776219/couv/M385x862/anthologie-flash.jpg
DC Anthologie,Batman Anthologie,Batman Anthologie,2013-12-06,368,25.00,12+,Collectif,Collectif,,9782365772730,https://www.urban-comics.com/batman-anthologie/,https://bdi.dlpdomain.com/album/9782365772730/couv/M385x862/batman-anthologie.jpg
DC Anthologie,DC Comics Anthologie,DC Comics Anthologie,2012-02-24,288,23.00,12+,Jerry Siegel|Bill Finger|Jim Steranko|Dick Sprang|Gail Simone|Dennis O'Neil|Mark Millar|William Moulton Marston|Edmond Hamilton|Gardner Fox|Paul Dini|John Byrne|John Broome|Grant Morrison|Geoff Johns,Joe Shuster|Howard Porter|Jim Steranko|Mike Sekowsky|Harry Peter|George Pérez|Kevin O'Neill|Gil Kane|Bob Kane|Carmine Infantino|John Byrne|Neal Adams|Jim Lee|Alex Ross|Dave Gibbons,,9782365770033,https://www.urban-comics.com/dc-comics-anthologie/,https://bdi.dlpdomain.com/album/9782365770033/couv/M385x862/dc-comics-anthologie.jpg
DC Anthologie,Jack Kirby Anthologie,Jack Kirby Anthologie,2012-12-07,336,21.80,12+,Jack Kirby,Jack Kirby,,9782365771276,https://www.urban-comics.com/jack-kirby-anthologie/,https://bdi.dlpdomain.com/album/9782365771276/couv/M385x862/jack-kirby-anthologie.jpg
DC Anthologie,Joker Anthologie,Joker Anthologie,2014-03-21,368,25.00,12+,Collectif,Collectif,,9782365773300,https://www.urban-comics.com/joker-anthologie/,https://bdi.dlpdomain.com/album/9782365773300/couv/M385x862/joker-anthologie.jpg
DC Anthologie,Justice League Anthologie,Justice League Anthologie,2017-10-27,400,25.00,12+,Dan Jurgens|Gardner Fox|Dan Abnett|Geoff Johns|Collectif,Dan Jurgens|George Pérez|Collectif,"The Brave And The Bold #28, Justice League of America #71, Justice League Of America #200, Justice League Of America Annual #2, DC Retroactive: Justice League America – The 1990s #1, Justice League America #61-62, Jla #27, Jla #61, Justice League Of America V2 #0, Justice League #51, Titans Annual #1",9791026811848,https://www.urban-comics.com/justice-league-anthologie/,https://bdi.dlpdomain.com/album/9791026811848/couv/M385x862/justice-league-anthologie.jpg
DC Anthologie,Shazam Anthologie,Shazam Anthologie,2019-03-29,416,25.00,9+,Collectif,Collectif,"Whiz Comics #2, Master Comics #23, Marvel Family #1, 10, Captain Marvel Adventures #148, Superman V1 #276, Shazam V1 #29, DC Comics Presents Annual #3, The Power of Shazam, The Flash V2 #107, Shazam: Power of Hope, All-New Batman Brave and the Bold #2, Convergence Shazam #1-2, Shazam V2 #1",9791026819448,https://www.urban-comics.com/shazam-anthologie/,https://bdi.dlpdomain.com/album/9791026819448/couv/M385x862/shazam-anthologie.jpg
DC Anthologie,Super-Vilains Anthologie,Super-Vilains Anthologie,2014-10-31,352,25.00,12+,Collectif,Collectif,,9782365774222,https://www.urban-comics.com/super-vilains-anthologie/,https://bdi.dlpdomain.com/album/9782365774222/couv/M385x862/super-vilains-anthologie.jpg
DC Anthologie,Superman Anthologie,Superman Anthologie,2013-03-22,320,23.00,12+,Collectif,Collectif,,9782365772006,https://www.urban-comics.com/superman-anthologie/,https://bdi.dlpdomain.com/album/9782365772006/couv/M385x862/superman-anthologie.jpg
DC Anthologie,Wonder Woman Anthologie,Wonder Woman Anthologie,2016-04-15,400,25.00,12+,Collectif,Collectif,,9782365778510,https://www.urban-comics.com/wonder-woman-anthologie/,https://bdi.dlpdomain.com/album/9782365778510/couv/M385x862/wonder-woman-anthologie.jpg
DC Archives,,Aquaman – La Mort du Prince,2018-12-07,344,29.00,9+,David Michelinie,Don NEWTON|Mike GRELL|Jim Aparo,"Contenu : Adventure Comics #435-437,441-455 + Aquaman #57-63",9791026818748,https://www.urban-comics.com/aquaman-la-mort-du-prince/,https://bdi.dlpdomain.com/album/9791026818748/couv/M385x862/aquaman-8211-la-mort-du-prince.jpg
